stop_id,stop_name,latitude,longitude
1183431007,Stop_1183431007,13.0034788,80.2474452
1184256833,Stop_1184256833,13.1023555,80.2715142
1185692895,Stop_1185692895,13.1170247,80.096898
1185703062,Stop_1185703062,13.1160521,80.1062634
1197445418,Stop_1197445418,12.9948463,80.1994107
1200694624,Stop_1200694624,12.8445841,80.2264618
1207424028,Stop_1207424028,13.0846312,80.2203688
1240545660,Stop_1240545660,12.9880545,80.2524511
1280328281,Stop_1280328281,13.0715858,80.2646192
1311558790,Stop_1311558790,13.0571946,80.2647294
1311558791,Stop_1311558791,13.057111,80.2649869
1311558792,Stop_1311558792,13.0642263,80.2657999
1311558793,Stop_1311558793,13.0475472,80.261006
1311558794,Stop_1311558794,13.0508912,80.2625181
1311558795,Stop_1311558795,13.0521591,80.2639569
1330414243,Stop_1330414243,12.9284375,80.202201
1334303173,Stop_1334303173,13.0202075,80.2626599
1453592060,Stop_1453592060,12.9639187,80.2564812
1453592062,Stop_1453592062,12.9665741,80.2478057
1457114931,Stop_1457114931,12.9669208,80.2482764
1457114934,Stop_1457114934,12.969085,80.2577701
1457114942,Stop_1457114942,12.9694054,80.2576146
1457114953,Stop_1457114953,12.979143,80.2525895
1457114954,Stop_1457114954,12.9794944,80.2528353
1467456714,Stop_1467456714,13.1415836,80.2371784
1666841444,Stop_1666841444,12.9290533,80.20255
1676204804,Stop_1676204804,12.9847375,80.2523565
1676204841,Stop_1676204841,12.9861494,80.2503872
1676204843,Stop_1676204843,12.9861778,80.244571
1676204850,Stop_1676204850,12.9863453,80.2502837
